nome_wiki,dob_wiki,nacionalidade_wiki,nivel_match,UID,Inf,Name,DoB,Nat,Division,Club,Based,Preferred Foot,Right Foot,Left Foot,Position,Height,Weight,Age,Transfer Value,Wage,AT Apps,AT Gls,Team,Caps,Yth Apps,Style,Rc Injury,Best Role,Best Duty,Best Pos,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Com,Cmp,Cnt,Cor,Cro,Dec,Det,Dri,Ecc,Fin,Fir,Fla,Fre,Han,Hea,Jum,Kic,Ldr,Lon,L Th,Mar,Nat .1,OtB,1v1,Pac,Pas,Pen,Pos,Pun,Ref,TRO,Sta,Str,Tck,Tea,Tec,Thr,Vis,Wor,dob_iso,dob_date,name_norm
Brennan Johnson,2001-05-23,País de Gales,1,29189400,,Brennan Johnson,23/5/2001 (21 years old),WAL,English Premier Division,Nottm Forest,England (Premier Division),Right,Very Strong,Reasonable,"AM (RC), ST (C)",180 cm,72 kg,21,€39M - €59M,"€201,000 p/m",90,26,Main,13,4,Technical,-,Winger,Support,AM (R),16,1,6,13,11,12,12,1,1,13,10,8,13,13,12,14,3,13,12,13,11,1,8,8,1,10,10,5,7,14,13,1,15,14,14,8,2,3,1,13,9,6,12,13,3,12,13,2001-05-23,2001-05-23,brennan johnson
Aaron Ramsey,1990-12-26,País de Gales,1,29000737,,Aaron Ramsey,26/12/1990 (31 years old),WAL,Ligue 1 Uber Eats,OGC Nice,France (Ligue 1 Uber Eats),Right,Very Strong,Reasonable,"M (C), AM (RC)",178 cm,76 kg,31,€4.2M - €8M,"€887,000 p/m",346,49,Main,75,12,Technical,Pulled hamstring,Central Midfielder,Attack,M (C),12,3,10,14,15,14,12,1,1,13,14,11,13,15,12,14,2,10,16,14,8,3,6,8,1,12,14,4,9,8,16,1,12,15,10,11,4,3,1,12,10,11,14,16,4,14,11,1990-12-26,1990-12-26,aaron ramsey
Gareth Bale,1989-07-16,País de Gales,1,5132312,,Gareth Bale,16/7/1989 (32 years old),WAL,Major League Soccer,LAFC,U.S.A. (MLS),Left,Reasonable,Very Strong,"M (L), AM (RLC), ST (C)",185 cm,82 kg,32,€550K - €5.6M,"€135,000 p/m",382,139,Main,106,13,Creative,Pulled calf muscle,Inverted Winger,Support,AM (R),12,2,11,11,13,12,10,4,4,13,10,14,16,13,11,13,2,15,14,17,17,3,16,15,3,7,17,15,6,8,14,4,12,15,15,7,1,4,1,11,14,9,7,16,1,13,7,1989-07-16,1989-07-16,gareth bale
Danny Ward,1993-06-22,País de Gales,1,29058892,Inj,Danny Ward,22/6/1993 (29 years old),WAL,English Premier Division,Leicester,England (Premier Division),Right,Very Strong,Weak,GK,193 cm,88 kg,29,€900K - €9.8M,"€176,000 p/m",73,-,Main,26,6,Assertive,-,Sweeper Keeper,Defend,GK,12,13,12,12,13,12,13,14,13,13,13,5,2,12,14,2,6,2,10,2,9,14,2,12,13,10,2,3,2,13,3,11,11,11,1,12,9,13,13,13,13,1,12,10,13,11,11,1993-06-22,1993-06-22,danny ward
Kieffer Moore,1992-08-08,País de Gales,1,89038587,,Kieffer Moore,8/8/1992 (29 years old),WAL,English Premier Division,Bournemouth,England (Premier Division),Right,Very Strong,Reasonable,ST (C),196 cm,83 kg,29,€7M - €8.6M,"€126,000 p/m",299,107,Main,26,-,Intelligent,-,Target Forward,Support,ST (C),11,1,14,8,13,14,14,1,3,13,12,7,10,12,16,11,2,13,13,11,8,2,15,17,4,11,12,9,10,16,14,1,12,11,14,11,1,3,1,13,15,8,14,12,2,11,14,1992-08-08,1992-08-08,kieffer moore
Connor Roberts,1995-09-23,País de Gales,1,28087373,,Connor Roberts,23/9/1995 (26 years old),WAL,Sky Bet Championship,Burnley,England (Sky Bet Championship),Right,Very Strong,Reasonable,D/WB (R),175 cm,71 kg,26,€9.8M - €11.5M,"€97,000 p/m",202,12,Main,39,2,Leader,-,Wing-Back,Defend,WB (R),12,1,14,13,12,11,13,2,1,11,14,13,12,11,18,9,4,9,12,11,11,3,10,10,1,10,8,18,12,19,14,3,12,12,5,12,2,2,2,18,9,13,16,11,1,12,16,1995-09-23,1995-09-23,connor roberts
Ethan Ampadu,2000-09-14,País de Gales,1,29175064,,Ethan Ampadu,14/9/2000 (21 years old),WAL,Italian Serie A,Spezia,Italy (Serie A),Right,Very Strong,Fairly Strong,"D (C), DM, M (C)",182 cm,78 kg,21,€14.5M - €22M,"€176,000 p/m",66,-,Main,36,-,Technical,-,Ball Playing Defender,Cover,D (C),12,1,12,11,14,15,16,3,2,15,12,6,7,12,12,9,2,6,12,7,6,3,11,13,2,11,5,11,14,13,7,3,14,13,7,13,3,2,3,11,12,15,12,11,3,10,11,2000-09-14,2000-09-14,ethan ampadu
Joe Morrell,1997-01-03,País de Gales,1,29130351,Inj,Joe Morrell,3/1/1997 (25 years old),WAL,Sky Bet League One,Portsmouth,England (Sky Bet League One),Right,Very Strong,Reasonable,"DM, M (C)",168 cm,76 kg,25,€16K - €160K,"€20,000 p/m",119,4,Main,28,8,Technical,-,Box To Box Midfielder,Support,M (C),11,1,6,12,12,12,11,2,2,12,10,8,11,11,14,12,1,11,12,11,11,2,10,6,2,8,11,4,11,13,12,3,12,12,8,11,1,1,1,14,10,12,10,12,2,11,13,1997-01-03,1997-01-03,joe morrell
Tom Lockyer,1994-12-03,País de Gales,1,29087734,,Tom Lockyer,3/12/1994 (27 years old),WAL,Sky Bet Championship,Luton,England (Sky Bet Championship),Right,Very Strong,Weak,D (C),183 cm,73 kg,27,€450K - €4.5M,"€17,500 p/m",347,8,Main,14,7,Technical,-,Central Defender,Defend,D (C),9,1,8,12,13,12,13,2,2,12,12,5,7,11,12,10,1,6,12,5,9,3,15,13,2,14,6,6,13,16,7,1,10,12,5,14,4,2,1,15,13,15,15,10,3,8,13,1994-12-03,1994-12-03,tom lockyer
Jonny Williams,1993-10-09,País de Gales,1,28055992,,Jonny Williams,9/10/1993 (28 years old),WAL,Sky Bet League Two,Swindon,England (Sky Bet League Two),Right,Very Strong,Reasonable,M/AM (LC),168 cm,64 kg,28,€26K - €250K,"€17,500 p/m",230,10,,33,8,Creative,-,Inverted Winger,Support,AM (L),10,1,6,12,13,12,12,2,1,12,12,11,10,13,11,13,3,9,13,13,10,1,7,6,1,11,9,4,6,12,11,1,11,13,10,7,2,3,2,10,6,6,12,13,3,12,11,1993-10-09,1993-10-09,jonny williams
Mark Harris,1998-12-29,País de Gales,1,29162932,,Mark Harris,29/12/1998 (23 years old),WAL,Sky Bet Championship,Cardiff,England (Sky Bet Championship),Right,Very Strong,Reasonable,"AM (LC), ST (C)",183 cm,77 kg,23,€90K - €900K,"€27,500 p/m",98,11,,5,20,Intelligent,-,Inverted Winger,Support,AM (L),11,1,8,13,13,13,8,1,3,11,11,10,12,11,15,12,2,9,14,10,10,1,9,11,1,8,10,6,9,13,14,3,13,11,11,13,2,3,3,13,10,8,14,13,3,5,14,1998-12-29,1998-12-29,mark harris
Daniel James,1997-11-10,País de Gales,1,28094856,,Daniel James,10/11/1997 (24 years old),WAL,English Premier Division,Fulham,England (Premier Division),Right,Very Strong,Weak,M/AM (RL),171 cm,76 kg,24,€11M - €16.5M,"€251,000 p/m",115,14,,36,11,Physical,-,Winger,Support,AM (R),19,3,14,16,10,12,16,1,3,6,9,4,11,5,15,13,1,7,11,12,4,2,5,6,2,4,8,2,5,15,12,2,19,8,10,6,4,1,1,16,5,6,16,11,3,7,18,1997-11-10,1997-11-10,daniel james
Adam Davies,1992-07-17,País de Gales,1,68006529,Inj,Adam Davies,17/7/1992 (29 years old),WAL,Sky Bet Championship,Sheff Utd,England (Sky Bet Championship),Right,Very Strong,Fairly Strong,GK,185 cm,77 kg,29,€1M - €2.2M,"€50,500 p/m",217,-,Main,3,-,Distributor,-,Goalkeeper,Defend,GK,9,14,11,13,11,12,13,10,12,11,10,3,3,11,14,3,8,2,9,3,4,12,7,14,13,13,2,3,1,14,7,12,10,10,2,13,12,14,11,14,12,3,13,9,13,9,14,1992-07-17,1992-07-17,adam davies
Sorba Thomas,1999-01-25,País de Gales,1,95040497,,Sorba Thomas,25/1/1999 (23 years old),WAL,Sky Bet Championship,Huddersfield,England (Sky Bet Championship),Right,Very Strong,Reasonable,"WB/M (RL), AM (RLC)",186 cm,81 kg,23,€5.8M - €7M,"€37,500 p/m",129,11,,5,-,Physical,-,Inverted Winger,Support,M (L),14,2,13,12,8,13,4,3,3,13,9,15,13,10,12,13,3,7,11,10,12,1,5,9,1,5,7,8,6,12,12,3,13,12,14,9,1,2,1,13,11,6,11,12,2,13,12,1999-01-25,1999-01-25,sorba thomas
Dylan Levitt,2000-11-17,País de Gales,1,28115832,,Dylan Levitt,17/11/2000 (21 years old),WAL,cinch Premiership,Dundee Utd,Scotland (cinch Premiership),Right,Very Strong,Reasonable,M (C),180 cm,73 kg,21,€10.5M - €15.5M,"€20,000 p/m",35,5,,12,1,Technical,-,Central Midfielder,Attack,M (C),13,1,6,13,13,10,8,2,1,14,11,13,8,13,14,10,1,13,14,12,12,1,5,5,3,5,15,2,7,15,14,1,12,16,10,8,1,3,1,13,9,12,14,15,3,14,13,2000-11-17,2000-11-17,dylan levitt
Ben Cabango,2000-05-30,País de Gales,1,28109135,Inj,Ben Cabango,30/5/2000 (22 years old),WAL,Sky Bet Championship,Swansea,England (Sky Bet Championship),Right Only,Very Strong,Weak,D (C),190 cm,85 kg,22,€850K - €5.2M,"€45,000 p/m",105,6,,4,5,Leader,-,No-Nonsense Centre-Back,Stopper,D (C),10,2,15,8,13,6,16,1,2,9,12,4,6,12,12,7,3,8,9,7,4,2,16,15,1,11,5,10,13,12,7,3,11,10,5,14,1,2,2,13,16,16,13,7,3,9,14,2000-05-30,2000-05-30,ben cabango
Rubin Colwill,2002-04-27,País de Gales,1,28122158,Inj,Rubin Colwill,27/4/2002 (20 years old),WAL,Sky Bet Championship,Cardiff,England (Sky Bet Championship),Right,Very Strong,Reasonable,M/AM (C),189 cm,80 kg,20,€11.5M - €17M,"€12,500 p/m",40,5,Main,6,1,Technical,-,Advanced Playmaker,Support,AM (C),10,3,8,12,11,13,11,3,2,13,12,10,11,10,8,13,1,12,13,13,12,1,12,10,4,10,11,7,10,12,12,2,12,12,11,11,3,3,1,12,14,10,13,14,3,13,13,2002-04-27,2002-04-27,rubin colwill
Matthew Smith,1999-11-22,País de Gales,1,28108497,,Matt Smith,22/11/1999 (22 years old),WAL,Sky Bet League One,MK Dons,England (Sky Bet League One),Right,Very Strong,Weak,"DM, M/AM (C)",175 cm,71 kg,22,€900K - €1.9M,"€15,000 p/m",97,3,,18,5,Leader,-,Central Midfielder,Support,M (C),13,1,10,13,11,11,12,3,3,12,12,11,10,11,13,11,4,9,12,8,10,3,8,9,2,13,10,10,12,13,11,1,13,13,9,11,2,3,3,12,10,12,13,12,1,13,13,1999-11-22,1999-11-22,matt smith
Franco Armani,1986-10-16,Argentina,1,14006220,,Franco Armani,16/10/1986 (35 years old),ARG,Argentine Premier Division,River,Argentina (Premier Division),Right Only,Very Strong,Weak,GK,189 cm,85 kg,35,Not for Sale,"€179,000 p/m",328,-,Main,16,-,Shot Stopper,Damaged cruciate ligaments,Sweeper Keeper,Defend,GK,8,14,12,13,16,14,15,6,10,17,16,3,1,14,14,3,6,3,7,1,6,16,2,12,10,15,1,1,1,12,3,16,7,8,6,15,19,17,10,14,14,1,12,7,9,8,15,1986-10-16,1986-10-16,franco armani
Juan Foyth,1998-01-12,Argentina,1,14186894,Wnt,Juan Foyth,12/1/1998 (24 years old),ARG,Spanish First Division,Villarreal,Spain (First Division),Right,Very Strong,Reasonable,"D (RC), DM",187 cm,69 kg,24,€21M - €30M,"€145,000 p/m",64,2,Main,15,14,Technical,-,Wing-Back,Defend,D (R),13,3,14,14,13,14,16,2,1,16,12,7,11,11,12,13,1,8,15,12,11,2,15,13,3,10,7,8,14,13,13,2,14,14,8,14,3,1,3,15,13,16,15,15,3,13,16,1998-01-12,1998-01-12,juan foyth
Nicolás Tagliafico,1992-08-31,Argentina,1,14008030,,Nicolás Tagliafico,31/8/1992 (29 years old),ARG,Ligue 1 Uber Eats,OL,France (Ligue 1 Uber Eats),Left,Weak,Very Strong,D/WB/M (L),172 cm,67 kg,29,€22M - €33M,"€208,000 p/m",308,13,Main,40,7,Leader,-,Wing-Back,Defend,D (L),13,1,19,14,14,14,17,3,3,12,14,8,12,12,15,12,4,7,13,12,11,2,15,13,1,16,8,13,15,13,13,1,13,13,4,14,1,1,2,16,13,16,15,12,2,12,17,1992-08-31,1992-08-31,nicolas tagliafico
Gonzalo Montiel,1997-01-01,Argentina,1,14136122,,Gonzalo Montiel,1/1/1997 (25 years old),ARG,Spanish First Division,Sevilla,Spain (First Division),Right Only,Very Strong,Weak,D/WB (R),175 cm,70 kg,25,€8.4M - €12M,"€93,000 p/m",88,3,,16,4,Leader,-,Wing-Back,Defend,D (R),14,3,16,14,15,14,16,1,2,14,14,7,11,13,16,9,2,6,12,7,3,3,12,10,3,13,5,13,14,15,11,1,15,12,15,15,3,3,3,16,13,14,17,9,1,8,16,1997-01-01,1997-01-01,gonzalo montiel
Leandro Paredes,1994-06-29,Argentina,1,14024702,,Leandro Paredes,29/6/1994 (27 years old),ARG,Italian Serie A,Juventus,Italy (Serie A),Right,Very Strong,Reasonable,"DM, M (C)",180 cm,75 kg,27,€19M - €28M,"€748,000 p/m",211,21,Main,44,-,Technical,-,Ball Winning Midfielder,Support,M (C),13,1,17,14,15,13,16,1,1,14,14,15,12,14,14,14,3,11,15,13,14,3,12,10,3,10,15,7,12,14,14,1,13,15,13,12,3,1,4,15,13,14,15,16,3,13,14,1994-06-29,1994-06-29,leandro paredes
Germán Pezzella,1991-06-27,Argentina,1,14023371,,Germán Pezzella,27/6/1991 (31 years old),ARG,Spanish First Division,Real Hispalis,Spain (First Division),Right,Very Strong,Reasonable,D (C),187 cm,82 kg,31,€8.4M - €10.5M,"€185,000 p/m",257,14,Main,29,7,Intelligent,Torn knee ligaments,No-Nonsense Centre-Back,Stopper,D (C),11,2,15,11,16,14,15,1,3,15,14,7,8,14,15,7,3,7,8,10,7,1,16,16,1,16,7,8,16,13,9,1,12,10,7,15,2,1,1,13,14,14,14,10,2,12,14,1991-06-27,1991-06-27,german pezzella
Rodrigo de Paul,1994-05-24,Argentina,1,14048343,Wnt,Rodrigo De Paul,24/5/1994 (28 years old),ARG,Spanish First Division,A. Madrid,Spain (First Division),Right,Very Strong,Fairly Strong,"M (C), AM (RLC)",180 cm,70 kg,28,€35M - €43M,"€483,000 p/m",318,43,Main,41,-,Technical,-,Inverted Winger,Support,AM (L),14,3,13,14,15,14,13,1,3,13,12,15,16,14,15,17,2,13,16,16,14,1,8,9,1,15,15,3,10,15,13,1,14,16,15,6,3,3,3,13,12,12,15,16,3,15,14,1994-05-24,1994-05-24,rodrigo de paul
Marcos Acuña,1991-10-28,Argentina,1,14044037,,Marcos Acuña,28/10/1991 (30 years old),ARG,Spanish First Division,Sevilla,Spain (First Division),Left,Reasonable,Very Strong,D/WB/M/AM (L),172 cm,72 kg,30,€46M - €55M,"€157,000 p/m",339,30,Main,41,-,Leader,-,Complete Wing-Back,Support,D (L),13,3,18,14,14,15,14,1,4,14,15,16,16,12,17,14,3,10,14,16,13,4,7,7,1,14,14,10,12,12,14,1,13,15,9,12,2,2,3,15,12,14,15,14,2,15,15,1991-10-28,1991-10-28,marcos acuna
Julián Álvarez,2000-01-31,Argentina,1,14183207,,Julián Álvarez,31/1/2000 (22 years old),ARG,English Premier Division,Man City,England (Premier Division),Right,Very Strong,Fairly Strong,"AM (RLC), ST (C)",170 cm,70 kg,22,€36M - €42M,"€402,000 p/m",74,33,,9,18,Intelligent,-,Advanced Forward,Attack,ST (C),15,3,11,14,13,12,8,2,2,14,12,14,11,14,14,13,3,14,16,17,13,3,10,7,3,7,15,6,5,15,15,3,13,13,13,8,3,3,2,15,11,8,14,15,1,12,14,2000-01-31,2000-01-31,julian alvarez
Lionel Messi,1987-06-24,Argentina,1,7458500,,Lionel Messi,24/6/1987 (35 years old),ARG,Ligue 1 Uber Eats,PSG,France (Ligue 1 Uber Eats),Left,Fairly Strong,Very Strong,"AM (RC), ST (C)",169 cm,67 kg,35,€50M - €76M,"€3,366,000 p/m",578,491,Main,162,18,Creative,-,Attacking Midfielder,Attack,AM (C),15,2,7,15,17,18,10,2,1,16,11,15,15,18,20,20,1,17,19,20,18,1,10,6,2,14,16,4,4,14,13,3,15,19,17,5,4,1,3,12,9,7,12,20,2,20,7,1987-06-24,1987-06-24,lionel messi
Ángel Di María,1988-02-14,Argentina,1,14000219,Inj,Ángel Di María,14/2/1988 (34 years old),ARG,Italian Serie A,Juventus,Italy (Serie A),Left,Weak,Very Strong,"M (RL), AM (RLC)",180 cm,75 kg,34,€17M - €21M,"€641,000 p/m",458,94,Main,122,13,Creative,-,Inverted Winger,Attack,AM (R),15,1,12,17,16,12,12,1,1,14,12,16,17,14,16,17,1,14,16,17,14,2,5,10,3,10,17,4,4,15,15,3,15,17,14,4,2,3,1,12,10,7,12,19,2,18,12,1988-02-14,1988-02-14,angel di maria
Gerónimo Rulli,1992-05-20,Argentina,3,14030119,Wnt,Gerónimo Rulli,10/4/1992 (30 years old),ARG,Spanish First Division,Villarreal,Spain (First Division),Right,Very Strong,Weak,GK,189 cm,84 kg,30,€13M - €16.5M,"€199,000 p/m",261,-,,3,-,Shot Stopper,-,Sweeper Keeper,Support,GK,12,13,8,15,15,7,15,14,12,12,13,5,3,11,11,2,10,1,12,2,9,13,6,14,15,11,1,1,3,15,2,18,11,12,3,13,14,17,14,13,12,3,14,13,13,10,11,1992-04-10,1992-04-10,geronimo rulli
Cristian Romero,1998-04-27,Argentina,1,14130029,,Cristian Romero,27/4/1998 (24 years old),ARG,English Premier Division,Tottenham,England (Premier Division),Right,Very Strong,Reasonable,D (C),185 cm,79 kg,24,€160M - €192M,"€880,000 p/m",129,6,Main,11,7,Leader,-,Ball Playing Defender,Defend,D (C),13,2,18,14,17,14,15,4,3,14,14,5,6,14,16,9,3,8,13,8,4,3,16,14,2,12,5,4,17,15,6,1,13,12,8,14,3,3,1,14,15,17,14,12,3,11,17,1998-04-27,1998-04-27,cristian romero
Exequiel Palacios,1998-10-05,Argentina,1,14110846,,Exequiel Palacios,5/10/1998 (23 years old),ARG,Bundesliga,Bayer 04,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"DM, M (C)",177 cm,71 kg,23,€19M - €29M,"€264,000 p/m",83,6,,20,5,Leader,-,Mezzala,Support,M (C),12,2,15,14,13,13,16,1,3,14,12,9,11,13,16,12,2,9,14,11,10,2,8,9,2,12,11,8,12,15,14,3,11,15,11,11,2,1,2,14,11,14,14,15,1,15,16,1998-10-05,1998-10-05,exequiel palacios
Ángel Correa,1995-03-09,Argentina,1,14043349,Wnt,Ángel Correa,9/3/1995 (27 years old),ARG,Spanish First Division,A. Madrid,Spain (First Division),Right,Very Strong,Fairly Strong,"M (R), AM (RLC), ST (C)",172 cm,67 kg,27,€44M - €52M,"€417,000 p/m",285,56,Main,20,11,Creative,-,Inverted Winger,Support,AM (L),14,2,10,16,15,14,11,4,1,13,13,13,15,14,13,16,1,13,16,18,10,3,8,6,2,10,11,7,5,16,17,3,14,15,11,8,1,1,2,12,10,6,11,17,1,15,13,1995-03-09,1995-03-09,angel correa
Thiago Almada,2001-04-26,Argentina,1,14172522,,Thiago Almada,26/4/2001 (21 years old),ARG,Major League Soccer,Atlanta United,U.S.A. (MLS),Right,Very Strong,Weak,AM (RLC),171 cm,64 kg,21,€18M - €27M,"€196,000 p/m",94,22,,1,6,Creative,-,Inverted Winger,Support,AM (L),14,2,13,15,13,14,9,1,3,14,12,13,12,15,14,14,3,12,15,16,13,1,4,5,3,6,15,4,7,14,14,3,12,15,16,8,2,2,1,13,7,7,14,16,2,15,12,2001-04-26,2001-04-26,thiago almada
Papu Gómez,1988-02-15,Argentina,1,955978,,Alejandro Gómez,15/2/1988 (34 years old),ARG,Spanish First Division,Sevilla,Spain (First Division),Right,Very Strong,Fairly Strong,"M (C), AM (LC), ST (C)",167 cm,68 kg,34,Not for Sale,"€308,000 p/m",509,96,,14,11,Creative,-,Attacking Midfielder,Support,AM (C),15,2,12,17,15,14,14,3,1,12,12,14,16,15,17,17,3,12,18,17,13,2,5,5,4,14,17,3,3,15,13,1,13,16,14,4,1,1,3,12,7,5,14,17,2,17,11,1988-02-15,1988-02-15,alejandro gomez
Guido Rodríguez,1994-04-12,Argentina,1,14043255,Wnt,Guido Rodríguez,12/4/1994 (28 years old),ARG,Spanish First Division,Real Hispalis,Spain (First Division),Right,Very Strong,Fairly Strong,"DM, M (C)",185 cm,80 kg,28,€19.5M - €23M,"€134,000 p/m",254,21,Main,24,-,Intelligent,-,Defensive Midfielder,Support,DM,12,1,12,13,16,15,12,1,3,14,14,10,11,15,16,12,1,6,15,12,8,1,11,10,4,11,10,4,14,13,13,1,11,14,4,18,3,1,1,13,12,18,17,12,2,13,16,1994-04-12,1994-04-12,guido rodriguez
Nicolás Otamendi,1988-02-12,Argentina,1,14004589,Wnt,Nicolás Otamendi,12/2/1988 (34 years old),ARG,Portuguese Premier League,Benfica,Portugal (Premier League),Right,Very Strong,Fairly Strong,D (C),183 cm,81 kg,34,€4M - €7.6M,"€165,000 p/m",346,24,Main,91,-,Leader,-,Ball Playing Defender,Stopper,D (C),10,2,17,13,18,16,20,1,2,14,15,5,8,13,18,11,1,10,13,6,6,1,15,13,2,19,6,11,18,16,13,1,10,13,10,14,3,1,3,15,15,16,18,12,1,12,18,1988-02-12,1988-02-12,nicolas otamendi
Alexis Mac Allister,1998-12-24,Argentina,1,14157184,,Alexis Mac Allister,24/12/1998 (23 years old),ARG,English Premier Division,Brighton,England (Premier Division),Right,Very Strong,Weak,"DM, M/AM (C)",174 cm,71 kg,23,€34M - €52M,"€226,000 p/m",141,17,,5,5,Technical,-,Attacking Midfielder,Support,AM (C),13,3,15,11,13,11,12,2,2,14,13,14,14,13,14,13,2,14,14,14,15,1,10,9,1,10,15,9,7,14,14,1,13,16,16,13,3,1,2,14,12,14,13,16,3,16,14,1998-12-24,1998-12-24,alexis mac allister
Paulo Dybala,1993-11-15,Argentina,1,14044150,,Paulo Dybala,15/11/1993 (28 years old),ARG,Italian Serie A,Capitoline,Italy (Serie A),Left,Reasonable,Very Strong,"AM (RC), ST (C)",177 cm,79 kg,28,€16M - €24M,"€694,000 p/m",339,120,Main,34,-,Creative,Pulled calf muscle,Attacking Midfielder,Support,AM (C),14,2,9,18,16,18,10,2,1,12,11,16,15,14,13,18,3,15,18,17,17,1,13,7,1,11,17,4,4,10,14,3,12,17,16,4,2,1,1,12,12,4,14,19,3,17,12,1993-11-15,1993-11-15,paulo dybala
Lautaro Martínez,1997-08-23,Argentina,1,14110660,nEU,Lautaro Martínez,22/8/1997 (24 years old),ARG,Italian Serie A,Inter,Italy (Serie A),Right,Very Strong,Fairly Strong,ST (C),174 cm,79 kg,24,€84M - €127M,"€926,000 p/m",183,80,Main,38,12,Leader,-,Pressing Forward,Attack,ST (C),16,2,18,17,15,14,18,2,1,13,12,4,8,13,19,14,3,15,16,16,8,3,16,11,3,12,14,3,5,16,16,1,17,12,15,7,1,4,1,15,13,8,15,16,2,12,18,1997-08-22,1997-08-22,lautaro martinez
Emiliano Martínez,1992-09-02,Argentina,1,14020367,,Emiliano Martínez,2/9/1992 (29 years old),ARG,English Premier Division,Aston Villa,England (Premier Division),Right,Very Strong,Reasonable,GK,193 cm,85 kg,29,€32M - €40M,"€503,000 p/m",145,-,Main,17,13,Shot Stopper,-,Sweeper Keeper,Support,GK,10,15,7,16,13,13,12,14,12,12,14,2,3,13,14,1,10,3,11,8,1,16,5,15,14,13,3,3,3,13,11,14,10,12,5,13,10,18,14,12,12,2,12,11,11,7,13,1992-09-02,1992-09-02,emiliano martinez
Enzo Fernández,2001-01-17,Argentina,1,14229525,,Enzo Fernández,17/1/2001 (21 years old),ARG,Portuguese Premier League,Benfica,Portugal (Premier League),Right,Very Strong,Fairly Strong,"DM, M/AM (C)",178 cm,70 kg,21,€37M - €44M,"€119,000 p/m",54,10,,2,-,Intelligent,-,Central Midfielder,Attack,M (C),13,3,15,14,13,15,10,2,2,11,13,10,10,13,14,13,3,12,14,14,9,3,7,10,2,13,16,8,10,15,17,2,13,15,13,14,3,2,1,16,12,13,15,15,1,16,13,2001-01-17,2001-01-17,enzo fernandez
Lisandro Martínez,1998-01-18,Argentina,1,14167329,,Lisandro Martínez,18/1/1998 (24 years old),ARG,English Premier Division,Man UFC,England (Premier Division),Left,Reasonable,Very Strong,"D (LC), DM",178 cm,77 kg,24,€56M - €67M,"€603,000 p/m",121,9,Main,7,4,Technical,-,Ball Playing Defender,Stopper,D (C),13,2,16,12,14,14,14,1,2,14,14,6,9,14,12,12,4,7,13,12,9,3,14,13,3,13,7,12,15,15,12,2,12,15,9,14,1,4,1,15,13,13,13,15,2,14,15,1998-01-18,1998-01-18,lisandro martinez
Nahuel Molina,1998-04-06,Argentina,1,14129337,,Nahuel Molina,6/4/1998 (24 years old),ARG,Spanish First Division,A. Madrid,Spain (First Division),Right,Very Strong,Reasonable,D/WB/M (R),175 cm,70 kg,24,€30M - €36M,"€95,000 p/m",111,11,Main,17,7,Technical,-,Wing-Back,Attack,D (R),15,1,10,14,12,12,13,1,3,11,13,14,14,12,14,13,3,11,13,12,12,3,8,8,3,8,12,13,11,15,13,1,15,14,6,12,2,3,2,13,12,13,12,14,2,13,15,1998-04-06,1998-04-06,nahuel molina
Alfredo Talavera,1982-09-18,México,1,5662985,,Alfredo Talavera,18/9/1982 (39 years old),MEX,Mexican First Division,FC Juárez,Mexico (First Division),Right Only,Very Strong,Weak,GK,188 cm,82 kg,39,Not for Sale,"€88,500 p/m",520,1,Main,39,-,Distributor,Torn knee ligaments,Goalkeeper,Defend,GK,9,14,6,13,14,12,13,17,16,15,14,5,5,13,14,3,8,5,5,5,4,17,5,14,13,15,3,3,9,11,5,15,11,7,13,14,9,13,8,13,13,11,11,5,13,8,12,1982-09-18,1982-09-18,alfredo talavera
Néstor Araujo,1991-08-29,México,1,51011883,,Néstor Araujo,29/8/1991 (30 years old),MEX,Mexican First Division,América,Mexico (First Division),Right,Very Strong,Reasonable,D (C),188 cm,87 kg,30,€425K - €4.2M,"€91,500 p/m",319,7,,60,14,Technical,Damaged knee cartilage,Ball Playing Defender,Cover,D (C),13,1,8,12,12,12,13,1,1,13,14,6,7,13,13,8,3,5,13,9,7,1,10,14,2,13,9,12,15,12,9,1,12,13,11,15,3,3,1,14,14,13,13,13,1,12,12,1991-08-29,1991-08-29,nestor araujo
César Montes,1997-02-24,México,1,51055610,,César Montes,24/2/1997 (25 years old),MEX,Mexican First Division,Monterrey,Mexico (First Division),Right Only,Very Strong,Weak,D (C),191 cm,70 kg,25,€1.2M - €10.5M,"€97,000 p/m",218,13,Main,26,4,Intelligent,-,Ball Playing Defender,Cover,D (C),12,3,9,13,13,14,13,4,2,14,13,8,12,14,13,7,3,6,10,8,7,4,15,15,1,8,9,14,15,14,7,2,14,11,11,14,3,2,2,13,9,12,12,14,1,13,14,1997-02-24,1997-02-24,cesar montes
Edson Álvarez,1997-10-24,México,1,51054011,Wnt,Edson Álvarez,24/10/1997 (24 years old),MEX,Eredivisie,Ajax,Holland (Eredivisie),Right,Very Strong,Reasonable,"D (C), DM, M (C)",185 cm,73 kg,24,€29M - €36M,"€166,000 p/m",164,13,Main,58,10,Leader,-,Ball Winning Midfielder,Defend,DM,12,2,17,13,16,15,16,2,3,14,15,5,7,14,13,8,2,11,14,12,6,3,14,14,3,14,8,9,15,15,13,1,12,14,11,14,1,4,2,16,12,15,16,13,2,14,16,1997-10-24,1997-10-24,edson alvarez
